stationID,datetime,pm10,o3,co,no2,so2,ws,wd,temp,rh,bp,rain,Traffic congestion index
02t,2023-12-01 00:00,,,,,,0.7,49,30.0,53,754,0.0,2.4
02t,2023-12-01 01:00,,,,,,0.8,51,29.5,55,753,0.0,2.1
02t,2023-12-01 02:00,,,,,,0.4,5,29.1,57,753,0.0,2.5
02t,2023-12-01 03:00,,,,,,0.4,30,28.5,60,753,0.0,2.3
02t,2023-12-01 04:00,,,,,,0.7,19,28.1,62,753,0.0,1.8
02t,2023-12-01 05:00,,,,,,0.9,45,27.9,63,753,0.0,1.7
02t,2023-12-01 06:00,,,,,,0.9,55,27.8,64,754,0.0,2.6
02t,2023-12-01 07:00,,,,,,1.0,46,27.9,64,754,0.0,4.2
02t,2023-12-01 08:00,,,,,,1.1,69,28.6,63,755,0.0,5.7
02t,2023-12-01 09:00,,,,,,1.2,76,29.9,59,755,0.0,4.8
02t,2023-12-01 10:00,,,,,,1.7,45,31.5,54,754,0.0,4.8
02t,2023-12-01 11:00,,,,,,1.8,50,33.4,48,753,0.0,4.5
02t,2023-12-01 12:00,,,,,,1.6,36,34.1,46,752,0.0,4.4
02t,2023-12-01 13:00,,,,,,1.3,28,33.8,47,752,0.0,4.4
02t,2023-12-01 14:00,,,,,,0.8,35,33.8,46,751,0.0,
02t,2023-12-01 15:00,,,,,,0.7,80,33.3,46,750,0.0,
02t,2023-12-01 16:00,,,,,,0.5,97,33.0,47,751,0.0,
02t,2023-12-01 17:00,,,,,184.5267813227958,0.8,76,32.4,49,751,0.0,
02t,2023-12-01 18:00,,,,,,0.4,91,31.8,51,752,0.0,
02t,2023-12-01 19:00,,,,,,0.3,100,31.3,53,752,0.0,
02t,2023-12-01 20:00,,,,,,0.1,150,30.8,55,753,0.0,
02t,2023-12-01 21:00,,,,,,0.3,278,30.3,56,754,0.0,
02t,2023-12-01 22:00,,,,,,0.3,274,29.9,58,754,0.0,
02t,2023-12-01 23:00,,,,,,0.3,295,29.7,60,753,0.0,
02t,2023-12-02 00:00,,,,,,0.2,78,29.7,62,753,14.4,
02t,2023-12-02 01:00,,,,,,0.5,93,27.2,72,753,0.2,2.9
02t,2023-12-02 02:00,,,,,,0.2,83,26.3,75,753,0.0,2.6
02t,2023-12-02 03:00,,,,,,0.2,285,26.3,76,753,0.0,2.7
02t,2023-12-02 04:00,,,,,,0.1,330,26.2,76,753,0.0,2.1
02t,2023-12-02 05:00,,,,,,0.2,8,26.2,77,753,0.0,2.1
02t,2023-12-02 06:00,,,,,,0.1,24,26.2,77,753,0.0,2.4
02t,2023-12-02 07:00,,,,,,0.3,51,26.5,78,754,0.0,2.0
02t,2023-12-02 08:00,,,,,,0.7,79,27.4,78,755,0.0,3.3
02t,2023-12-02 09:00,,,,,,0.8,73,28.3,77,755,0.0,3.8
02t,2023-12-02 10:00,,,,,,1.1,72,29.2,71,755,0.0,4.5
02t,2023-12-02 11:00,,,,,,1.0,81,30.2,65,754,0.0,5.1
02t,2023-12-02 12:00,,,,,,1.3,57,31.8,59,753,0.0,5.1
02t,2023-12-02 13:00,,,,,,0.7,85,32.7,55,752,0.0,5.1
02t,2023-12-02 14:00,,,,,,0.5,86,32.6,52,751,0.0,5.1
02t,2023-12-02 15:00,,,,,,0.7,87,32.5,51,751,0.0,5.1
02t,2023-12-02 16:00,,,,,247.73191419879672,0.8,86,32.3,52,751,0.0,5.0
02t,2023-12-02 17:00,,,,,,0.5,92,31.8,54,752,0.0,5.0
02t,2023-12-02 18:00,,,,,,0.4,95,31.2,56,752,0.0,5.7
02t,2023-12-02 19:00,,,,,,0.2,97,30.8,57,753,0.0,4.8
02t,2023-12-02 20:00,,,,,208.3687051672905,0.2,81,30.4,59,753,0.0,4.1
02t,2023-12-02 21:00,,,,,,0.2,71,30.0,60,754,0.0,3.5
02t,2023-12-02 22:00,,,,,,0.2,21,29.7,61,754,0.0,3.3
02t,2023-12-02 23:00,,,,,,0.2,335,29.3,62,754,0.0,2.8
02t,2023-12-03 00:00,,,,,,0.4,46,29.0,63,753,0.0,2.9
02t,2023-12-03 01:00,,,,,,1.2,44,29.1,65,753,0.0,2.4
02t,2023-12-03 02:00,,,,,,1.0,55,29.0,65,753,0.0,2.0
02t,2023-12-03 03:00,,,,,,0.6,71,28.7,64,753,0.0,2.3
02t,2023-12-03 04:00,,,,,,0.5,67,28.5,64,753,0.0,1.8
02t,2023-12-03 05:00,,,,,,0.3,90,28.2,64,753,0.0,1.6
02t,2023-12-03 06:00,,,,,,0.8,78,28.1,64,754,0.0,2.0
02t,2023-12-03 07:00,,,,,,0.7,67,28.2,64,754,0.0,1.9
02t,2023-12-03 08:00,,,,,,1.1,64,28.6,65,754,0.0,2.3
02t,2023-12-03 09:00,,,,,,1.0,58,29.4,63,755,0.0,2.9
02t,2023-12-03 10:00,,,,,,1.2,58,30.6,60,754,0.0,3.6
02t,2023-12-03 11:00,,,,,,1.1,55,32.3,53,753,0.0,3.8
02t,2023-12-03 12:00,,,,,,1.1,59,34.0,47,752,0.0,4.0
02t,2023-12-03 13:00,,,,,,0.9,58,34.2,46,751,0.0,4.3
02t,2023-12-03 14:00,,,,,,0.8,64,34.0,46,751,0.0,4.1
02t,2023-12-03 15:00,,,,,,0.6,81,33.8,47,751,0.0,4.0
02t,2023-12-03 16:00,,,,,,0.7,85,33.3,48,751,0.0,4.3
